3815,1994,49,2,157,2,0,1994-12-06,R/49/35G,NA,NA,"JERUSALEM, UNIVERSITY","Emphasizes the need for strengthening the educational system in the Palestinian territory occupied by Israel since 5 June 1967, including Jerusalem, and specifically the need for the establishment of the proposed university and Requests the Sec",1,0,0,0,0,0,0,49012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3816,1994,49,72,84,2,0,1994-12-06,R/49/36A,NA,NA,"ISRAEL, OCCUPIED TERRITORIES","the Special Committee, pending complete termination of the Israeli occupation, to continue to investigate Israeli policies and practices in the occupied Palestinian territory, including Jerusalem, and other Arab territories occupied by Israel s",1,0,0,0,1,0,0,49013,-1,2,2,-1,-1,,2,-1,,2,2,2,2,2,2,-1,2,,-1,,2,-1,,-1,-1,-1,-1,-1,2,-1,2,2,-1,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,-1,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,2,2,,2,,-1,-1,-1,,-1,,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,,2,2,2,2,-1,-1,,-1,-1,2,-1,,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,2,2,,2,,,2,,,2,,,2,2,-1,
3817,1994,49,4,151,3,0,1994-12-06,R/49/36B,NA,NA,"ISRAEL, GENEVA CONVENTION",Requests Israel to respect the Geneva convention pretaining to persons in times of war,1,0,0,0,0,0,0,49014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3818,1994,49,15,143,2,0,1994-12-06,R/49/36C,NA,NA,"ISRAEL, OCCUPIED TERRITORIES","Illegality of Israeli measures threatening the legal status, geographical nature and demographic composition of the occupied territories",1,0,0,0,1,0,0,49015,-2,2,2,2,2,,2,2,,,-1,2,-1,-1,2,2,,,2,,2,-1,2,2,2,2,2,2,-1,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,-1,2,2,2,2,2,2,2,2,,2,2,2,2,-1,-1,-1,,2,,2,2,2,,2,,,2,2,,2,2,2,2,2,2,2,2,2,-1,,2,2,,2,2,2,2,2,,2,2,2,2,2,2,2,-2,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,,2,2,,2,2,2,2,,2,2,2,2,2,2,2,,2,-1,2,2,2,,,2,,,-1,,,-1,2,2,
3819,1994,49,13,143,1,0,1994-12-06,R/49/36D,NA,NA,"ISRAEL, GOLAN HEIGHTS",Denounces Israel's actions in the Syrian Golan; draws attention to Israel's violation of the Geneva Convention,1,0,0,0,0,0,0,49016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3820,1994,49,3,162,0,0,1994-12-06,R/49/39,NA,NA,"NON SELF GOVERNING TERRITORIES, INFORMATION",Information from Non-Self-Governing Territories transmitted under Article 73e of the Charter of the UN,0,0,0,0,1,0,0,49017,-1,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,-1,,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
3821,1994,49,6,110,43,0,1994-12-06,R/49/40,NA,NA,"SELF-DETERMINATION, ECONOMIC IMPEDIMENTS",Activities of foreign economic and other interests which impede the implementation of the Declaration on the Granting of Independence to Colonial Countries and Peoples in territories under colonial Domination,0,0,0,0,1,1,0,49018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3822,1994,49,47,117,0,0,1994-12-06,R/49/41,NA,NA,"SELF-DETERMINATION, IMPLEMENTATION",Implementation of the Declaration on the Granting of Independence to Colonial Countries and Peoples by the specialized agencies and the international institutions associated with the UN,0,0,0,0,1,0,0,49019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3823,1994,49,17,139,0,1,1994-12-06,R/49/43,NA,NA,"CROATIA, OCCUPIED TERRITORIES",The situation in the occupied territories of Croatia,0,0,0,0,1,0,0,49020,2,2,2,,2,,2,2,,2,2,2,2,-1,2,-1,2,2,,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,-1,2,2,2,2,-1,,2,2,2,2,2,2,2,2,,,,2,2,2,-1,2,2,2,2,2,,2,,-1,2,2,2,2,,-1,,2,2,-1,,,,,2,2,,2,2,-1,-1,-1,-1,-1,-1,2,2,,2,2,,2,2,2,2,2,,2,2,,2,,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,-1,2,,,2,2,-1,,2,2,,2,2,2,2,2,,,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
3824,1994,49,8,140,0,0,1994-12-06,R/49/52,NA,NA,WATERCOURSES,Draft articles on the law of the non-navigational uses of international watercourses,0,0,0,0,0,0,0,49021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3825,1994,49,1,153,0,0,1994-12-06,R/49/58,NA,NA,U.N. STRENGTHENING,Report of the Special Committee on the Charter of UN and on the Strengthening of the Role of the Organization,0,0,0,0,0,0,0,49022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3826,1994,49,40,103,2,0,1994-12-04,R/49/62A,NA,NA,"PALESTINE, RIGHTS COMMITTEE",Committee on the Exercise of the Inalienable Rights of the Palestinian People,1,0,0,1,0,0,0,49023,-2,-1,2,2,2,,2,2,2,,2,,,2,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,-1,2,-1,-1,-1,-1,-1,-1,,-1,,-1,,-1,,,-1,-1,-1,,-1,,-1,,2,,-1,-1,,,-1,-1,2,-1,-1,-1,-1,-1,-1,,2,2,-1,-1,2,-1,-1,-1,-1,-1,2,,,,,2,2,2,2,2,2,,2,,,2,2,2,2,2,2,,2,,2,2,2,,,,,2,2,,-1,2,2,2,,2,2,,2,2,,,2,,2,2,2,2,,,2,2,2,2,2,2,2,-2,2,,,2,2,2,2,2,,,-1,1,2,2,2,2,,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,-1,2,-1,,,,,2,,,-1,,,,-1,2,
3827,1994,49,40,105,2,0,1994-12-04,R/49/62B,NA,NA,"PALESTINE, RIGHTS, SECRETARIAT",Division for Palestinian Rights of the Secretariat,1,0,0,1,0,0,0,49024,-2,-1,2,2,2,,2,2,2,,2,,,2,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,,,-1,-1,-1,,-1,,-1,,2,,-1,-1,,,-1,-1,2,-1,-1,-1,-1,-1,-1,,2,2,-1,-1,2,-1,-1,-1,-1,-1,2,,,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,,2,,2,2,2,,,,,2,2,,2,2,2,2,,2,2,,2,2,,,2,,2,2,2,2,,,2,2,2,2,2,2,2,-2,2,,,2,2,2,2,2,,,-1,1,2,2,2,2,,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,-1,2,-1,,,,,2,,,-1,,,,-1,2,
3828,1994,49,3,142,2,0,1994-12-04,R/49/62C,NA,NA,"PALESTINE, INFORMATION",Requests the Department of Public Information of the Secretariat to assist in the worldwide dissemination of 'accurate and comprehensive information' in support for the inalienable rights of the Palestinian people',1,0,0,1,0,0,0,49025,-2,2,2,2,2,,2,2,2,,2,,,2,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,2,,,2,2,2,,2,,2,,2,,2,2,,,2,2,2,2,2,2,-1,2,2,,2,2,2,-1,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,,2,,2,2,2,,,,,2,2,,2,2,2,2,,2,2,,2,2,,,2,,2,2,2,2,,,2,2,2,2,2,2,2,-2,2,,,2,2,2,2,2,,,-1,1,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,,,2,,,2,,,,2,2,
3829,1994,49,7,136,2,0,1994-12-04,R/49/62D,NA,NA,"PALESTINE, PEACEFUL SETTLEMENT",Expresses its full support for the ongoing peace process which began in Madrid. Stresses the necessity for commitment to the principle of land for peace,1,0,0,0,0,0,0,49026,-2,2,2,2,2,,2,2,2,,2,,,2,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,,2,,2,,,2,2,2,,2,,2,,2,,2,2,,,2,2,2,2,2,2,-1,2,2,,2,-1,2,-1,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,,2,,2,2,2,,,,,2,2,,2,2,2,2,,2,2,,2,2,,,2,,2,2,2,2,,,,2,,2,2,2,2,-2,2,,,2,2,2,2,2,,,-1,1,-1,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,,,2,,,-1,,,,2,2,
3830,1994,49,6,156,1,1,1994-12-05,R/49/65,NA,NA,IAEA REPORT,Report of the International Atomic Energy Agency,0,0,0,0,0,0,0,49027,2,2,2,-1,2,,2,2,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,,2,-1,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,,2,2,2,2,2,2,2,2,,2,2,2,2,,,-1,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,-1,2,,-2,2,2,2,2,2,2,,2,2,2,2,2,-1,-1,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
3831,1994,49,46,115,4,0,1994-12-05,R/49/67,NA,NA,"SCIENCE, TECHNOLOGY, SECURITY",Scientific and technological developments and their impact on international security,0,0,0,0,0,1,0,49028,-2,-1,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,-2,-1,-1,-1,-1,-2,,-1,,-1,-1,-1,,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,,,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,-1,-1,-1,-1,,,,,2,2,2,2,2,2,-1,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,,,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,-1,2,2,2,2,2,-2,2,,,2,2,2,2,2,2,2,-1,1,-1,2,2,2,,2,-1,-1,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,-1,2,-1,2,2,,,2,,,2,,,2,-1,2,
3832,1994,49,5,162,0,0,1994-12-05,R/49/68,NA,NA,"SCIENCE, TECHNOLOGY, SECURITY","The role of science and technology in the context of international security, disarmament and other related fields",0,0,1,0,0,0,0,49029,-1,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,-1,,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,-1,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,,-1,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
3833,1994,49,48,113,4,0,1994-12-05,R/49/69,NA,NA,"BAN, AIR, WATER AND OUTER SPACE NUCLEAR TESTING","Amendment of the Treaty Banning Nuclear Weapon Tests in the Atmosphere, in Outer Space and under Water",0,1,0,0,0,0,0,49030,-2,-1,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,-2,-1,-1,-1,-1,,,-1,,-1,-1,-1,,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,-1,,,-1,-1,2,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,-1,2,2,2,2,2,-2,2,,,2,2,2,2,2,2,-1,-1,1,2,2,,2,,2,-1,-1,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,-1,2,-1,-1,2,,,2,,,-1,,,2,-1,2,
3834,1994,49,9,153,3,0,1994-12-05,R/49/72,NA,NA,"DENUCLEARIZATION, SOUTH ASIA",Establishment of a nuclear-weapon-free zone in South Asia,0,1,0,0,0,0,0,49031,2,2,2,-1,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,2,2,2,2,2,-1,2,-2,,2,-1,2,2,2,,2,2,2,2,,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,,,2,2,-2,-2,2,2,,2,2,2,2,2,-1,-1,2,2,2,2,-1,,2,2,2,-1,2,,,2,,,2,,,2,2,2,
3835,1994,49,3,164,0,0,1994-12-05,R/49/73,NA,NA,NON-NUCLEAR STATES,Conclusion of effective international arrangements to assure non nuclear weapon States against the use or threat of use of nuclear weapons,0,1,1,0,0,0,0,49032,-1,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,-1,,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
3836,1994,49,1,166,0,0,1994-12-05,R/49/74,NA,NA,"ARMS RACE, OUTER SPACE",Prevention of an arms race in outer space,0,0,1,0,0,0,0,49033,-1,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
3837,1994,49,27,134,3,0,1994-12-05,R/49/75B,NA,NA,DISARMAMENT DECADE,Review of the Declaration of the 1990s as the 3rd Disarmament Decade,0,0,1,0,0,0,0,49034,-2,-1,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,-2,2,-1,-1,-1,-2,,2,,2,2,2,,,-1,2,-1,,2,2,2,,2,-1,-1,-1,,,2,2,2,2,-1,2,-1,2,-1,-1,-1,-1,2,-1,2,-1,2,2,-1,,2,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,-1,2,2,2,2,2,-1,2,,,2,2,2,2,2,2,2,-1,1,2,-1,2,2,,2,-1,-1,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,-1,2,2,,,2,,,2,,,2,-1,2,
3838,1994,49,18,147,0,0,1994-12-05,R/49/75C,NA,NA,"ARMAMENTS, TRANSPARENCY",Reaffirms its determination to ensure the effective operation of the United Nations Register of Conventional Arms,0,0,1,0,1,0,0,49035,2,2,2,-1,2,,2,2,,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,-1,2,-1,-1,,-1,2,-1,-1,-1,-1,-1,2,-1,,,2,2,2,2,2,-1,2,2,1,2,2,2,2,,-1,2,2,-1,2,2,2,,-1,2,2,2,2,,,2,2,2,2,-1,,2,2,2,2,2,,,2,,,2,,,2,2,-1,
3839,1994,49,31,109,24,0,1994-12-05,R/49/75E,NA,NA,"REDUCTION, NUCLEAR THREAT",Step by step reduction of the nuclear threat,0,1,0,0,0,0,0,49036,-2,-1,-1,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,-2,-1,-2,-2,-2,-2,-2,-1,,-2,-1,-2,,,-2,-1,-2,,-2,-2,-2,,-2,-1,-1,-1,,,-1,-2,2,-1,-2,-2,-1,-1,-1,-1,-1,2,-1,-1,-1,-2,-1,-2,-2,-1,2,,,,2,2,2,2,2,2,-1,2,2,,,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,,,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,2,-2,2,2,2,2,2,-2,2,,,2,2,2,2,2,2,,-1,1,2,-1,2,2,,2,-1,-1,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,-1,2,-1,-1,2,,,2,,,-1,,,2,-2,2,
3840,1994,49,23,101,40,0,1994-12-05,R/49/75F,NA,NA,"REVIEW, NON-PROLIFERATION TREATY",1995 Review and Extension Conference of States Parties to the Treaty on the Non Proliferation of Nuclear Weapons,0,1,1,0,0,0,0,49037,-1,-1,2,2,-1,,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,,-1,-1,-1,,-1,-1,-1,,-1,-1,-1,2,,,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,2,2,-1,2,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,2,-1,-1,,-1,-1,-1,2,-1,-1,-1,,-1,,-1,-1,-1,,-1,,,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,2,-1,,,-1,-1,-1,-1,-1,-1,2,-1,2,2,2,-1,-1,,-1,2,2,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,2,-1,2,-1,-1,,,-1,,,2,,,,-1,-1,
3841,1994,49,1,165,0,0,1994-12-05,R/49/75G,NA,NA,ILLICIT SMALL-ARMS TRAFFIC,Assistance to States for curbing the illicit traffic in small arms and collecting them,0,0,1,0,0,0,0,49038,-1,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,,2,2,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
3842,1994,49,8,159,0,0,1994-12-05,R/49/75H,NA,NA,"DISARMAMENT, NUCLEAR ELIMINATION",Nuclear disarmament with a view to the ultimate elimination of nuclear weapons,0,1,1,0,0,0,0,49039,-1,2,2,-1,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,-1,2,2,2,2,-1,,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,-1,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,,-1,2,2,-1,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
3843,1994,49,37,75,43,1,1994-12-05,R/49/75K,NA,NA,"NUCLEAR WEAPONS, LEGALITY",Request for an advisory opinion from ICJ on the legality of the threat or use of nuclear weapons,0,1,1,0,0,0,0,49040,-1,2,-1,-1,-1,,2,2,,2,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,2,,-1,-1,-1,,,-1,2,-1,,-1,-1,-1,,-1,-1,-1,2,,,-1,-1,-1,-1,2,-1,-1,-1,-1,2,2,2,2,-1,2,-1,2,2,-1,-1,,,,,-1,-1,-1,-1,-1,2,-1,2,-1,,-1,2,2,2,-1,-1,2,,-1,,-1,-1,-1,,-1,,,-1,-1,2,,-1,-1,-1,,-1,-1,-1,-1,2,,-1,,,,-1,2,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,2,,,-1,-1,2,-1,2,2,2,,,,-1,-1,2,-1,-1,-1,-1,,-1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,2,-1,,,-1,,,-1,,,-1,-1,-1,
3844,1994,49,1,167,0,0,1994-12-05,R/49/75N,NA,NA,"DISARMAMENT, REGIONAL",Regional disarmament,0,0,1,0,0,0,1,49041,2,2,2,2,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,,2,2,2,,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,1,2,2,2,2,,2,2,2,-1,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,,2,,,2,,,2,2,2,
